22:18:09.263 [main] INFO  o.e.s.StockDividendApplication - Starting StockDividendApplication using Java 17.0.10 with PID 10072 (C:\Users\ne222\Desktop\제로베이스\StockDividend\build\classes\java\main started by ne222 in C:\Users\ne222\Desktop\제로베이스\StockDividend)
22:18:12.030 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
22:18:12.030 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.18]
22:18:12.144 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
22:18:12.145 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2791 ms
22:18:12.198 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
22:18:12.593 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection conn0: url=jdbc:h2:mem:StockDividend user=SA
22:18:12.596 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
22:18:12.611 [main] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:StockDividend'
22:18:12.763 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
22:18:12.927 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.1.Final
22:18:13.003 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
22:18:13.464 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
22:18:15.686 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
22:18:15.792 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
22:18:17.600 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
22:18:18.299 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@4ebe6c24, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@682fc714, org.springframework.security.web.context.SecurityContextHolderFilter@6ccd3cf1, org.springframework.security.web.header.HeaderWriterFilter@7f680a9a, org.springframework.web.filter.CorsFilter@23ba2c1e, org.springframework.security.web.authentication.logout.LogoutFilter@12128849, org.example.stockdividend.security.JwtAuthenticationFilter@5390862e, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1ae69abe, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@557f0a39, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5ed1bc4f, org.springframework.security.web.session.SessionManagementFilter@be56353, org.springframework.security.web.access.ExceptionTranslationFilter@d2ca3a9, org.springframework.security.web.access.intercept.AuthorizationFilter@17db90a7]
22:18:18.313 [main] WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore DispatcherServletDelegating [ant = Ant [pattern='/h2-console/**'], mvc = Mvc [pattern='/h2-console/**']]. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
22:18:18.314 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure DispatcherServletDelegating [ant = Ant [pattern='/h2-console/**'], mvc = Mvc [pattern='/h2-console/**']]
22:18:19.209 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
22:18:19.253 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
22:18:19.275 [main] INFO  o.e.s.StockDividendApplication - Started StockDividendApplication in 11.022 seconds (process running for 12.299)
22:18:45.911 [http-nio-8080-exec-2] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
22:18:45.912 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
22:18:45.914 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 2 ms
22:18:50.869 [http-nio-8080-exec-3] INFO  o.e.stockdividend.web.AuthController - user login -> grace
22:31:24.199 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22:31:24.209 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22:31:24.217 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
